NDUFAF3	autosomal recessive
TRNT1	autosomal recessive
TUBB1	autosomal dominant
COQ4	autosomal recessive
NXN	autosomal recessive
EXPH5	autosomal recessive
PHIP	autosomal dominant
ALG14	autosomal recessive
TUBB2B	autosomal dominant
SDHAF1	autosomal recessive
TET2	autosomal recessive
COQ9	autosomal recessive
PLCH1	autosomal recessive
PHLDB1	autosomal recessive
TARS2	autosomal recessive
SARS2	autosomal recessive
NARS2	autosomal recessive
VARS2	autosomal recessive
IARS2	autosomal recessive
CARS2	autosomal recessive
EARS2	autosomal recessive
PTDSS1	autosomal dominant
DPYD	autosomal recessive
SETD2	autosomal dominant
BCAM	autosomal recessive
DUOXA2	autosomal recessive
PISD	autosomal recessive
SMARCAD1	autosomal dominant
TAPT1	autosomal recessive
GPIHBP1	autosomal recessive
CCBE1	autosomal recessive
SPACA1	autosomal recessive
CPOX	autosomal dominant, autosomal recessive (rare)|autosomal recessive
ALDOB	autosomal recessive
PTS	autosomal recessive
RNF168	autosomal recessive
TEKT3	autosomal recessive
QDPR	autosomal recessive
DSTYK	autosomal dominant|autosomal recessive
WRAP53	autosomal recessive
RFX7	autosomal dominant
RFX6	autosomal recessive
TBC1D7	autosomal recessive
RSPH9	autosomal recessive
RSPH4A	autosomal recessive
ANK1	autosomal dominant, autosomal recessive
NDUFA11	autosomal recessive
UNC80	autosomal recessive
LMBRD1	autosomal recessive
SPNS2	autosomal recessive
FBN2	autosomal dominant
DNAAF2	autosomal recessive
DCAF17	autosomal recessive
ABCA5	autosomal recessive
COLEC11	autosomal recessive
ADSS1	autosomal recessive
RNF31	autosomal recessive
RNF43	autosomal dominant
AGXT2	autosomal recessive
ACTL6B	autosomal recessive|autosomal dominant
APOLD1	autosomal dominant
MEGF10	autosomal recessive
KANSL1	autosomal dominant
EYS	autosomal recessive
TMEM70	autosomal recessive
LRTOMT	autosomal recessive
FAT4	autosomal recessive
TLE6	autosomal recessive
CHKB	autosomal recessive
NDUFAF6	autosomal recessive
FECH	autosomal recessive
MED11	autosomal recessive
STING1	autosomal dominant
SLC29A3	autosomal recessive
NDUFAF5	autosomal recessive
KNG1	autosomal recessive|autosomal dominant
FOXI3	autosomal dominant, autosomal recessive
PAH	autosomal recessive
GGT1	autosomal recessive
CILK1	autosomal dominant|autosomal recessive
CCDC34	autosomal recessive
FASTKD2	autosomal recessive
ATAD3A	autosomal dominant, autosomal recessive (one family)|autosomal recessive
KRT6C	autosomal dominant
F5	? autosomal recessive|autosomal dominant|multifactorial predisposition|autosomal recessive
TRIM44	autosomal dominant
PROC	autosomal dominant|autosomal recessive
FUCA1	autosomal recessive
ADAMTSL2	autosomal recessive
YRDC	autosomal recessive
TTLL5	autosomal recessive
MAST3	autosomal dominant
MAST1	autosomal dominant
GPR161	somatic mutation, autosomal dominant, autosomal recessive
ADGRG6	autosomal recessive
GALNS	autosomal recessive
ZFP57	autosomal dominant (loss of maternal allele), autosomal recessive
DMXL2	autosomal dominant|autosomal recessive
NAT2	autosomal recessive
MYSM1	autosomal recessive
HSD17B13	autosomal dominant
PNPLA8	autosomal recessive
PNPLA1	autosomal recessive
CIDEC	autosomal recessive
SLC17A9	autosomal dominant
SLC51B	autosomal recessive
SLC51A	autosomal recessive
CIC	autosomal dominant
UQCRQ	autosomal recessive
ZNF469	autosomal recessive
RBM28	autosomal recessive
GET4	autosomal recessive
ZFP36L2	autosomal recessive
BEAN1	autosomal dominant
TMEM43	autosomal dominant
RNF212	autosomal recessive
PARS2	autosomal recessive
AARS2	autosomal recessive
APC2	autosomal recessive
FITM2	autosomal recessive
LARP7	autosomal recessive
IYD	autosomal recessive
OTUD7A	autosomal recessive
OTUD6B	autosomal recessive
TTC21B	autosomal dominant, autosomal recessive|autosomal recessive
CC2D2A	autosomal recessive
ZFYVE26	autosomal recessive
CREB3L3	autosomal dominant
MRPS34	autosomal recessive
MRPS28	autosomal recessive
MRPS25	autosomal recessive
MRPS23	autosomal recessive
MRPS14	autosomal recessive
MRPS7	autosomal recessive
MRPS2	autosomal recessive
TRAPPC9	autosomal recessive
C3orf52	autosomal recessive
B9D2	autosomal recessive
MMADHC	autosomal recessive
FAM83H	autosomal dominant
ISCU	autosomal recessive
SLC16A12	autosomal dominant
RFT1	autosomal recessive
VWA1	autosomal recessive
MIR140	autosomal dominant
PLEKHG2	autosomal recessive
ERF	autosomal dominant
SHARPIN	autosomal recessive
MRPL44	autosomal recessive
MRPL39	autosomal recessive
ELOVL1	autosomal dominant, autosomal recessive
ELOVL5	autosomal dominant
PGAP3	autosomal recessive
GPD1L	autosomal dominant
NDUFAF4	autosomal recessive
MTFMT	autosomal recessive
ASPRV1	autosomal dominant
LMF1	autosomal recessive
APC	autosomal dominant|somatic mutation, autosomal dominant|somatic mutation
KLC2	autosomal recessive
KCTD7	autosomal recessive
IRF2BPL	autosomal dominant
ATP6V0A2	autosomal recessive
SRD5A3	autosomal recessive
TTBK2	autosomal dominant
CLMP	autosomal recessive
KHDC3L	autosomal recessive
SLC46A1	autosomal recessive
TRMT1	autosomal recessive
TBC1D20	autosomal recessive
PGAP1	autosomal recessive
CSPP1	autosomal recessive
PPIP5K2	autosomal recessive
ARV1	autosomal recessive
HEPACAM	autosomal recessive|autosomal dominant
UBIAD1	autosomal dominant
NECAP1	autosomal recessive
SCAPER	autosomal recessive
PGM2L1	autosomal recessive
MIR96	autosomal dominant
ERLIN2	autosomal dominant|autosomal recessive
ERLIN1	autosomal recessive
TXNL4A	autosomal recessive
FARS2	autosomal recessive
KDM6B	autosomal dominant
SGMS2	autosomal dominant
FBP1	autosomal recessive
BLTP1	autosomal recessive
SEPTIN12	autosomal dominant
NALCN	autosomal dominant|autosomal recessive
ARSB	autosomal recessive
FOXD3	autosomal dominant
CTNNBL1	autosomal recessive
EMG1	autosomal recessive
RARS2	autosomal recessive
WLS	autosomal recessive
CENPT	autosomal recessive
CISD2	autosomal recessive
CAMTA1	autosomal dominant
GUSB	autosomal recessive
GATA5	autosomal dominant, autosomal recessive
CYP4F22	autosomal recessive
CA2	autosomal recessive
SYCE1	autosomal recessive
YIPF5	autosomal recessive
UFSP2	autosomal dominant|autosomal recessive
MBD5	autosomal dominant
PLEKHM1	autosomal recessive|autosomal dominant
SLC10A7	autosomal recessive
GLB1	autosomal recessive
BMS1	autosomal dominant
DOCK8	autosomal recessive
TTC21A	autosomal recessive
DONSON	autosomal recessive
CEP135	autosomal recessive
SRCAP	autosomal dominant
RIPOR2	autosomal recessive|autosomal dominant
OCA2	autosomal recessive at bey locus, eye color probably polygenic|autosomal recessive
LCA5	autosomal recessive
GAS2L2	autosomal recessive
ADNP	autosomal dominant
DIP2B	autosomal dominant
FANCI	autosomal recessive
TENT5A	autosomal recessive
INTS11	autosomal recessive
INTS8	autosomal recessive
INTS1	autosomal recessive
DNAJB11	autosomal dominant
DNAJB6	autosomal dominant
DNAJB4	autosomal recessive
MED12L	autosomal dominant
PIK3R5	autosomal recessive
KLHL24	autosomal recessive|autosomal dominant
DNMBP	autosomal recessive
KIF14	autosomal recessive
KIF12	autosomal recessive
NAPB	autosomal recessive
DOHH	autosomal recessive
TDRD7	autosomal recessive
KIF7	autosomal recessive
TMEM38B	autosomal recessive
SUCLG1	autosomal recessive
AKT3	autosomal dominant
UNC45B	autosomal dominant|autosomal recessive
UNC45A	autosomal recessive
RELT	autosomal recessive
CCDC88C	autosomal dominant|autosomal recessive
DNAJC5	autosomal dominant
ANKRD11	autosomal dominant
PIEZO1	autosomal recessive|autosomal dominant
IFT80	autosomal recessive
SAMD9L	autosomal dominant
XPA	autosomal recessive, with at least 4 loci
ATXN10	autosomal dominant
SLC30A7	autosomal recessive
SLC30A10	autosomal recessive
SLC30A8	autosomal dominant
TELO2	autosomal recessive
MFSD8	autosomal recessive
